box,50,50,2
AP,11.6061,18.9519,BSS-0-0-HeMcs0,21.5845
AP,37,12,BSS-1-1-HeMcs0,21.5845
AP,12,37,BSS-2-2-HeMcs0,21.5845
AP,37,37,BSS-3-3-HeMcs0,21.5845
STA,24.2162,9.41887,BSS-0-4-HeMcs0,21.5845
STA,48.1499,22.795,BSS-1-5-HeMcs0,21.5845
STA,5.25384,44.0816,BSS-2-6-HeMcs0,21.5845
STA,26.1676,44.508,BSS-3-7-HeMcs0,21.5845
STA,16.9623,21.8022,BSS-0-8-HeMcs0,21.5845
STA,46.2346,5.92542,BSS-1-9-HeMcs0,21.5845
STA,15.4044,48.176,BSS-2-10-HeMcs0,21.5845
STA,45.544,31.0577,BSS-3-11-HeMcs0,21.5845
STA,15.5621,12.4567,BSS-0-12-HeMcs0,21.5845
STA,26.0117,24.874,BSS-1-13-HeMcs0,21.5845
STA,1.13744,28.1658,BSS-2-14-HeMcs0,21.5845
STA,40.7234,28.1594,BSS-3-15-HeMcs0,21.5845
STA,12.6351,4.3366,BSS-0-16-HeMcs0,21.5845
STA,32.9619,6.4444,BSS-1-17-HeMcs0,21.5845
STA,18.4173,49.227,BSS-2-18-HeMcs0,21.5845
STA,37.3334,34.0368,BSS-3-19-HeMcs0,21.5845
